lambda_1_2_3 perplexity
"(0.4, 0.4, 0.2)" 21.4569388244
"(0.3, 0.4, 0.3)" 21.522330509
"(0.3, 0.5, 0.2)" 21.5719959245
"(0.4, 0.3, 0.3)" 21.7494321388
"(0.5, 0.3, 0.2)" 22.015240667
"(0.2, 0.5, 0.3)" 22.1440085443
"(0.3, 0.3, 0.4)" 22.2703915713
"(0.2, 0.6, 0.2)" 22.4473716078
"(0.4, 0.5, 0.1)" 22.449779082
"(0.2, 0.4, 0.4)" 22.5531573358
"(0.5, 0.4, 0.1)" 22.6832624839
"(0.3, 0.6, 0.1)" 22.8171839608
"(0.5, 0.2, 0.3)" 22.9135212664
"(0.4, 0.2, 0.4)" 23.1085622673
"(0.6, 0.2, 0.2)" 23.4723943374
"(0.6, 0.3, 0.1)" 23.5658049116
"(0.2, 0.3, 0.5)" 23.6642523043
"(0.2, 0.7, 0.1)" 23.9655324856
"(0.3, 0.2, 0.5)" 23.98800595
"(0.1, 0.6, 0.3)" 24.1038910986
"(0.1, 0.5, 0.4)" 24.2726214661
"(0.1, 0.7, 0.2)" 24.6795031055
"(0.1, 0.4, 0.5)" 25.0806758649
"(0.7, 0.2, 0.1)" 25.4256358395
"(0.5, 0.1, 0.4)" 25.7798860521
"(0.2, 0.2, 0.6)" 25.7928294251
"(0.6, 0.1, 0.3)" 25.8856751478
"(0.4, 0.1, 0.5)" 26.3435990841
"(0.1, 0.8, 0.1)" 26.6351392603
"(0.1, 0.3, 0.6)" 26.657231678
"(0.7, 0.1, 0.2)" 26.8392326202
"(0.3, 0.1, 0.6)" 27.6578125722
"(0.1, 0.2, 0.7)" 29.4663905638
"(0.8, 0.1, 0.1)" 29.5075658095
"(0.2, 0.1, 0.7)" 30.116836551
"(0.0, 0.6, 0.4)" 32.3537012755
"(0.0, 0.7, 0.3)" 32.5574519408
"(0.0, 0.5, 0.5)" 33.1243715378
"(0.0, 0.8, 0.2)" 34.0514128604
"(0.0, 0.4, 0.6)" 34.9298261729
"(0.1, 0.1, 0.8)" 35.0738326959
"(0.0, 0.3, 0.7)" 38.1892922209
"(0.0, 0.9, 0.1)" 38.2580032589
"(0.0, 0.2, 0.8)" 44.1133993157
"(0.5, 0.0, 0.5)" 45.9283460135
"(0.4, 0.0, 0.6)" 46.5822499577
"(0.6, 0.0, 0.4)" 46.7431452825
"(0.3, 0.0, 0.7)" 48.9199949552
"(0.7, 0.0, 0.3)" 49.3353879298
"(0.2, 0.0, 0.8)" 53.9542777693
"(0.8, 0.0, 0.2)" 54.9459402077
"(0.0, 0.1, 0.9)" 57.1188172329
"(0.1, 0.0, 0.9)" 65.581803301
"(0.9, 0.0, 0.1)" 68.5929895515
"(0.0, 0.0, 1.0)" 189.623022842
